时间,电力负荷(kW),热力负荷(kW),光照强度(W/m²),风速(m/s)
2024/1/1 0:00,584533.47,0,0,3.508
2024/1/1 1:00,589612.23,0,0,5.119
2024/1/1 2:00,574758.15,0,0,4.983
2024/1/1 3:00,581049.17,0,0,4.846
2024/1/1 4:00,580775.45,0,0,4.71
2024/1/1 5:00,591117.73,0,0,4.574
2024/1/1 6:00,589582.36,0,0,4.437
2024/1/1 7:00,589500.33,0,0,4.301
2024/1/1 8:00,584943.1,0,0,4.165
2024/1/1 9:00,575358.7,0,155,4.029
2024/1/1 10:00,553641.075,0,310,3.892
2024/1/1 11:00,592111.6,0,465,3.756
2024/1/1 12:00,591478.53,0,620,3.62
2024/1/1 13:00,587235.09,0,516.7,3.483
2024/1/1 14:00,590355.03,0,413.3,3.347
2024/1/1 15:00,587589.77,0,310,4.958
2024/1/1 16:00,582812.11,0,206.7,4.797
2024/1/1 17:00,587015.32,0,103.3,4.636
2024/1/1 18:00,584827.93,0,0,4.475
2024/1/1 19:00,589099.92,0,0,4.314
2024/1/1 20:00,546793.071,0,0,4.152
2024/1/1 21:00,535047.159,0,0,3.991
2024/1/1 22:00,592385.02,0,0,3.83
2024/1/1 23:00,595547.67,0,0,3.669
2024/1/2 0:00,590976.91,0,0,3.508
2024/1/2 1:00,591977.84,0,0,5.119
2024/1/2 2:00,591977.84,0,0,4.983
2024/1/2 3:00,591977.84,0,0,4.846
2024/1/2 4:00,591977.84,0,0,4.71
2024/1/2 5:00,591977.84,0,0,4.574
2024/1/2 6:00,591977.84,0,0,4.437
2024/1/2 7:00,591977.84,0,0,4.301
2024/1/2 8:00,591977.84,0,0,4.165
2024/1/2 9:00,591977.84,0,155,4.029
2024/1/2 10:00,591977.84,0,310,3.892
2024/1/2 11:00,591977.84,0,465,3.756
2024/1/2 12:00,591977.84,0,620,3.62
2024/1/2 13:00,591977.84,0,516.7,3.483
2024/1/2 14:00,591977.84,0,413.3,3.347
2024/1/2 15:00,591977.84,0,310,4.958
2024/1/2 16:00,591977.84,0,206.7,4.797
2024/1/2 17:00,591977.84,0,103.3,4.636
2024/1/2 18:00,591977.84,0,0,4.475
2024/1/2 19:00,591977.84,0,0,4.314
2024/1/2 20:00,591977.84,0,0,4.152
2024/1/2 21:00,591977.84,0,0,3.991
2024/1/2 22:00,591977.84,0,0,3.83
2024/1/2 23:00,591977.84,0,0,3.669
2024/1/3 0:00,591977.84,0,0,3.508
2024/1/3 1:00,591977.84,0,0,5.119
2024/1/3 2:00,588972.31,0,0,4.983
2024/1/3 3:00,590176.94,0,0,4.846
2024/1/3 4:00,588362.11,0,0,4.71
2024/1/3 5:00,592028.29,0,0,4.574
2024/1/3 6:00,587254.49,0,0,4.437
2024/1/3 7:00,587093.01,0,0,4.301
2024/1/3 8:00,588179.51,0,0,4.165
2024/1/3 9:00,569309.79,0,155,4.029
2024/1/3 10:00,555387.027,0,310,3.892
2024/1/3 11:00,587238.55,0,465,3.756
2024/1/3 12:00,585144.91,0,620,3.62
2024/1/3 13:00,584126.23,0,516.7,3.483
2024/1/3 14:00,586424.82,0,413.3,3.347
2024/1/3 15:00,585150.29,0,310,4.958
2024/1/3 16:00,584896.76,0,206.7,4.797
2024/1/3 17:00,585247.03,0,103.3,4.636
2024/1/3 18:00,582748.14,0,0,4.475
2024/1/3 19:00,580331.47,0,0,4.314
2024/1/3 20:00,547741.199,0,0,4.152
2024/1/3 21:00,538937.772,0,0,3.991
2024/1/3 22:00,588746.49,0,0,3.83
2024/1/3 23:00,588877.24,0,0,3.669
2024/1/4 0:00,585348.07,0,0,3.508
2024/1/4 1:00,586139.13,0,0,5.119
2024/1/4 2:00,588158.25,0,0,4.983
2024/1/4 3:00,587280.42,0,0,4.846
2024/1/4 4:00,588726.74,0,0,4.71
2024/1/4 5:00,589842.13,0,0,4.574
2024/1/4 6:00,587556.78,0,0,4.437
2024/1/4 7:00,580545.15,0,0,4.301
2024/1/4 8:00,585759.35,0,0,4.165
2024/1/4 9:00,558124.022,0,155,4.029
2024/1/4 10:00,563488.679,0,310,3.892
2024/1/4 11:00,572925.2986,0,465,3.756
2024/1/4 12:00,580982.476,0,620,3.62
2024/1/4 13:00,589217.92,0,516.7,3.483
2024/1/4 14:00,584840.81,0,413.3,3.347
2024/1/4 15:00,587501.14,0,310,4.958
2024/1/4 16:00,585650.8,0,206.7,4.797
2024/1/4 17:00,588511,0,103.3,4.636
2024/1/4 18:00,591299.92,0,0,4.475
2024/1/4 19:00,546027.852,0,0,4.314
