时间,电力负荷(kW),热力负荷(kW),光照强度(W/m²),风速(m/s)
2024/1/1 0:00,495637,0,0,1.127
2024/1/1 1:00,495637,0,0,0.492
2024/1/1 2:00,495637,0,0,0.791
2024/1/1 3:00,495637,0,0,0.329
2024/1/1 4:00,495637,0,0,0.008
2024/1/1 5:00,495637,0,0,1.419
2024/1/1 6:00,495637,0,0,2.462
2024/1/1 7:00,495637,0,0,1.97
2024/1/1 8:00,495637,0,0,1.273
2024/1/1 9:00,495637,0,155,2.037
2024/1/1 10:00,495637,0,310,3.215
2024/1/1 11:00,495637,0,465,2.276
2024/1/1 12:00,495637,0,620,2.679
2024/1/1 13:00,495637,0,516.7,2.42
2024/1/1 14:00,495637,0,413.3,1.647
2024/1/1 15:00,495637,0,310,1.225
2024/1/1 16:00,495637,0,206.7,1.386
2024/1/1 17:00,495637,0,103.3,1.083
2024/1/1 18:00,495637,0,0,2.055
2024/1/1 19:00,495637,0,0,1.542
2024/1/1 20:00,495637,0,0,1.666
2024/1/1 21:00,495637,0,0,0.446
2024/1/1 22:00,495637,0,0,0.38
2024/1/1 23:00,495637,0,0,0.695
2024/1/2 0:00,495637,0,0,0.739
2024/1/2 1:00,495637,0,0,1.06
2024/1/2 2:00,495637,0,0,0.763
2024/1/2 3:00,495637,0,0,0.802
2024/1/2 4:00,495637,0,0,0.587
2024/1/2 5:00,495637,0,0,0.937
2024/1/2 6:00,495637,0,0,0.361
2024/1/2 7:00,495637,0,0,1.651
2024/1/2 8:00,495637,0,0,2.539
2024/1/2 9:00,495637,0,155,2.774
2024/1/2 10:00,495637,0,310,2.535
2024/1/2 11:00,495637,0,465,2.474
2024/1/2 12:00,495637,0,620,1.741
2024/1/2 13:00,495637,0,516.7,0.843
2024/1/2 14:00,495637,0,413.3,0.088
2024/1/2 15:00,495637,0,310,1.436
2024/1/2 16:00,495637,0,206.7,2.071
2024/1/2 17:00,495637,0,103.3,1.436
2024/1/2 18:00,495637,0,0,0.968
2024/1/2 19:00,495637,0,0,1.12
2024/1/2 20:00,495637,0,0,0.181
2024/1/2 21:00,495637,0,0,0.881
2024/1/2 22:00,495637,0,0,1.045
2024/1/2 23:00,495637,0,0,0.905
2024/1/3 0:00,495637,0,0,2.132
2024/1/3 1:00,495637,0,0,2.31
2024/1/3 2:00,495637,0,0,2.659
2024/1/3 3:00,495637,0,0,2.308
2024/1/3 4:00,495637,0,0,1.526
2024/1/3 5:00,495637,0,0,0.781
2024/1/3 6:00,495637,0,0,1.388
2024/1/3 7:00,495637,0,0,1.781
2024/1/3 8:00,495637,0,0,2.137
2024/1/3 9:00,495637,0,155,2.072
2024/1/3 10:00,495637,0,310,2.919
2024/1/3 11:00,495637,0,465,1.984
2024/1/3 12:00,495637,0,620,1.414
2024/1/3 13:00,495637,0,516.7,1.472
2024/1/3 14:00,495637,0,413.3,2.033
2024/1/3 15:00,495637,0,310,2.251
2024/1/3 16:00,495637,0,206.7,2.307
2024/1/3 17:00,495637,0,103.3,2.745
2024/1/3 18:00,495637,0,0,0.829
2024/1/3 19:00,495637,0,0,1.519
2024/1/3 20:00,495637,0,0,2.633
2024/1/3 21:00,495637,0,0,2.149
2024/1/3 22:00,495637,0,0,2.711
2024/1/3 23:00,495637,0,0,1.82
2024/1/4 0:00,495637,0,0,2.06
2024/1/4 1:00,495637,0,0,1.543
2024/1/4 2:00,495637,0,0,1.175
2024/1/4 3:00,495637,0,0,1.989
2024/1/4 4:00,495637,0,0,2.259
2024/1/4 5:00,495637,0,0,0.913
2024/1/4 6:00,495637,0,0,0.641
2024/1/4 7:00,495637,0,0,1.476
2024/1/4 8:00,495637,0,0,1.377
2024/1/4 9:00,495637,0,155,0.585
2024/1/4 10:00,495637,0,310,0.54
2024/1/4 11:00,495637,0,465,1.351
2024/1/4 12:00,495637,0,620,1.396
2024/1/4 13:00,495637,0,516.7,1.295
2024/1/4 14:00,495637,0,413.3,1.332
2024/1/4 15:00,495637,0,310,1.586
2024/1/4 16:00,495637,0,206.7,1.629
2024/1/4 17:00,495637,0,103.3,1.837
2024/1/4 18:00,495637,0,0,0.742
2024/1/4 19:00,495637,0,0,0.841
2024/1/4 20:00,495637,0,0,0.731
2024/1/4 21:00,495637,0,0,1.26
2024/1/4 22:00,495637,0,0,1.679
2024/1/4 23:00,495637,0,0,1.851
2024/1/5 0:00,495637,0,0,1.788
2024/1/5 1:00,495637,0,0,1.159
2024/1/5 2:00,495637,0,0,0.773
2024/1/5 3:00,495637,0,0,0.876
2024/1/5 4:00,495637,0,0,0.98
2024/1/5 5:00,495637,0,0,0.969
2024/1/5 6:00,495637,0,0,1.533
2024/1/5 7:00,495637,0,0,2.288
2024/1/5 8:00,495637,0,0,2.692
2024/1/5 9:00,495637,0,155,1.393
2024/1/5 10:00,495637,0,310,2.22
2024/1/5 11:00,495637,0,465,1.97
2024/1/5 12:00,495637,0,620,1.223
2024/1/5 13:00,495637,0,516.7,1.319
2024/1/5 14:00,495637,0,413.3,1.135
2024/1/5 15:00,495637,0,310,0.663
2024/1/5 16:00,495637,0,206.7,1.752
2024/1/5 17:00,495637,0,103.3,1.224
2024/1/5 18:00,495637,0,0,1.06
2024/1/5 19:00,495637,0,0,1.648
2024/1/5 20:00,495637,0,0,1.224
2024/1/5 21:00,495637,0,0,1.162
2024/1/5 22:00,495637,0,0,1.171
2024/1/5 23:00,495637,0,0,1.24
2024/1/6 0:00,495637,0,0,1.441
2024/1/6 1:00,495637,0,0,1.525
2024/1/6 2:00,495637,0,0,1.049
2024/1/6 3:00,495637,0,0,0.845
2024/1/6 4:00,495637,0,0,0.948
2024/1/6 5:00,495637,0,0,0.69
2024/1/6 6:00,495637,0,0,0.814
2024/1/6 7:00,495637,0,0,0.871
2024/1/6 8:00,495637,0,0,0.626
2024/1/6 9:00,495637,0,155,0.994
2024/1/6 10:00,495637,0,310,0.627
2024/1/6 11:00,495637,0,465,0.656
2024/1/6 12:00,495637,0,620,0.785
2024/1/6 13:00,495637,0,516.7,0.517
2024/1/6 14:00,495637,0,413.3,0.778
2024/1/6 15:00,495637,0,310,1.012
2024/1/6 16:00,495637,0,206.7,0.749
2024/1/6 17:00,495637,0,103.3,0.943
2024/1/6 18:00,495637,0,0,0.781
2024/1/6 19:00,495637,0,0,0.434
2024/1/6 20:00,495637,0,0,0.66
2024/1/6 21:00,495637,0,0,0.552
2024/1/6 22:00,495637,0,0,0.797
2024/1/6 23:00,495637,0,0,0.649
2024/1/7 0:00,495637,0,0,0.421
2024/1/7 1:00,495637,0,0,0.356
2024/1/7 2:00,495637,0,0,0.349
2024/1/7 3:00,495637,0,0,0.356
2024/1/7 4:00,495637,0,0,0.358
2024/1/7 5:00,495637,0,0,0.495
2024/1/7 6:00,495637,0,0,0.415
2024/1/7 7:00,495637,0,0,0.464
2024/1/7 8:00,495637,0,0,0.466
2024/1/7 9:00,495637,0,155,0.359
2024/1/7 10:00,495637,0,310,0.499
2024/1/7 11:00,495637,0,465,0.424
2024/1/7 12:00,495637,0,620,0.442
2024/1/7 13:00,495637,0,516.7,0.396
2024/1/7 14:00,495637,0,413.3,1
2024/1/7 15:00,495637,0,310,1.459
2024/1/7 16:00,495637,0,206.7,1.443
2024/1/7 17:00,495637,0,103.3,0.996
2024/1/7 18:00,495637,0,0,2.188
2024/1/7 19:00,495637,0,0,2.25
2024/1/7 20:00,495637,0,0,0.764
2024/1/7 21:00,495637,0,0,0.549
2024/1/7 22:00,495637,0,0,1.146
2024/1/7 23:00,495637,0,0,0.484
2024/1/8 0:00,495637,0,0,1.074
2024/1/8 1:00,495637,0,0,0.643
2024/1/8 2:00,495637,0,0,0.999
2024/1/8 3:00,495637,0,0,1.08
2024/1/8 4:00,495637,0,0,0.152
2024/1/8 5:00,495637,0,0,0.002
2024/1/8 6:00,495637,0,0,0.257
2024/1/8 7:00,495637,0,0,0.795
2024/1/8 8:00,495637,0,0,0.669
2024/1/8 9:00,495637,0,155,0.005
2024/1/8 10:00,495637,0,310,0.054
2024/1/8 11:00,495637,0,465,1.142
2024/1/8 12:00,495637,0,620,0.108
2024/1/8 13:00,495637,0,516.7,0.672
2024/1/8 14:00,495637,0,413.3,0.936
2024/1/8 15:00,495637,0,310,1.836
2024/1/8 16:00,495637,0,206.7,1.936
2024/1/8 17:00,495637,0,103.3,1.442
2024/1/8 18:00,495637,0,0,0.893
2024/1/8 19:00,495637,0,0,0.423
2024/1/8 20:00,495637,0,0,0.576
2024/1/8 21:00,495637,0,0,0.876
2024/1/8 22:00,495637,0,0,1.355
2024/1/8 23:00,495637,0,0,1.055
2024/1/9 0:00,495637,0,0,0.755
2024/1/9 1:00,495637,0,0,0.018
2024/1/9 2:00,495637,0,0,0.076
2024/1/9 3:00,495637,0,0,0.278
2024/1/9 4:00,495637,0,0,1.873
2024/1/9 5:00,495637,0,0,1.438
2024/1/9 6:00,495637,0,0,1.04
2024/1/9 7:00,495637,0,0,0.591
2024/1/9 8:00,495637,0,0,0.737
2024/1/9 9:00,495637,0,155,0.562
2024/1/9 10:00,495637,0,310,0.563
2024/1/9 11:00,495637,0,465,0.648
2024/1/9 12:00,495637,0,620,1
2024/1/9 13:00,495637,0,516.7,1.204
2024/1/9 14:00,495637,0,413.3,0.815
2024/1/9 15:00,495637,0,310,1.05
2024/1/9 16:00,495637,0,206.7,1.812
2024/1/9 17:00,495637,0,103.3,1.8
2024/1/9 18:00,495637,0,0,1.171
2024/1/9 19:00,495637,0,0,0.581
2024/1/9 20:00,495637,0,0,0.521
2024/1/9 21:00,495637,0,0,0.903
2024/1/9 22:00,495637,0,0,0.907
2024/1/9 23:00,495637,0,0,1.033
2024/1/10 0:00,495637,0,0,0.571
2024/1/10 1:00,495637,0,0,1.017
2024/1/10 2:00,495637,0,0,0.69
2024/1/10 3:00,495637,0,0,0.934
2024/1/10 4:00,495637,0,0,0.885
2024/1/10 5:00,495637,0,0,0.751
2024/1/10 6:00,495637,0,0,0.925
2024/1/10 7:00,495637,0,0,0.529
2024/1/10 8:00,495637,0,0,0.496
2024/1/10 9:00,495637,0,155,0.482
2024/1/10 10:00,495637,0,310,0.675
2024/1/10 11:00,495637,0,465,0.983
2024/1/10 12:00,495637,0,620,0.7
2024/1/10 13:00,495637,0,516.7,0.727
2024/1/10 14:00,495637,0,413.3,1.202
2024/1/10 15:00,495637,0,310,1.929
2024/1/10 16:00,495637,0,206.7,1.341
2024/1/10 17:00,495637,0,103.3,1.04
2024/1/10 18:00,495637,0,0,1.122
2024/1/10 19:00,495637,0,0,1.064
2024/1/10 20:00,495637,0,0,1.617
2024/1/10 21:00,495637,0,0,1.163
2024/1/10 22:00,495637,0,0,1.957
2024/1/10 23:00,495637,0,0,1.257
2024/1/11 0:00,495637,0,0,0.937
2024/1/11 1:00,495637,0,0,1.159
2024/1/11 2:00,495637,0,0,0.85
2024/1/11 3:00,495637,0,0,0.743
2024/1/11 4:00,495637,0,0,0.547
2024/1/11 5:00,495637,0,0,0.585
2024/1/11 6:00,495637,0,0,0.37
2024/1/11 7:00,495637,0,0,0.456
2024/1/11 8:00,495637,0,0,0.576
2024/1/11 9:00,495637,0,155,0.416
2024/1/11 10:00,495637,0,310,0.375
2024/1/11 11:00,495637,0,465,1.17
2024/1/11 12:00,495637,0,620,1.081
2024/1/11 13:00,495637,0,516.7,0.777
2024/1/11 14:00,495637,0,413.3,1.528
2024/1/11 15:00,495637,0,310,1.437
2024/1/11 16:00,495637,0,206.7,1.628
2024/1/11 17:00,495637,0,103.3,1.035
2024/1/11 18:00,495637,0,0,1.201
2024/1/11 19:00,495637,0,0,1.378
2024/1/11 20:00,495637,0,0,2.301
2024/1/11 21:00,495637,0,0,1.773
2024/1/11 22:00,495637,0,0,1.385
2024/1/11 23:00,495637,0,0,0.407
2024/1/12 0:00,495637,0,0,0.667
2024/1/12 1:00,495637,0,0,0.658
2024/1/12 2:00,495637,0,0,1.335
2024/1/12 3:00,495637,0,0,2.805
2024/1/12 4:00,495637,0,0,4.503
2024/1/12 5:00,495637,0,0,6.228
2024/1/12 6:00,495637,0,0,3.211
2024/1/12 7:00,495637,0,0,2.835
2024/1/12 8:00,495637,0,0,3.37
2024/1/12 9:00,495637,0,155,1.658
2024/1/12 10:00,495637,0,310,3.313
2024/1/12 11:00,495637,0,465,3.195
2024/1/12 12:00,495637,0,620,2.372
2024/1/12 13:00,495637,0,516.7,3.325
2024/1/12 14:00,495637,0,413.3,3.239
2024/1/12 15:00,495637,0,310,1.789
2024/1/12 16:00,495637,0,206.7,3.024
2024/1/12 17:00,495637,0,103.3,2.533
2024/1/12 18:00,495637,0,0,3.946
2024/1/12 19:00,495637,0,0,4.949
2024/1/12 20:00,495637,0,0,2.84
2024/1/12 21:00,495637,0,0,2.858
2024/1/12 22:00,495637,0,0,4.152
2024/1/12 23:00,495637,0,0,4.871
2024/1/13 0:00,495637,0,0,4.348
2024/1/13 1:00,495637,0,0,1.931
2024/1/13 2:00,495637,0,0,1.735
2024/1/13 3:00,495637,0,0,3.709
2024/1/13 4:00,495637,0,0,2.689
2024/1/13 5:00,495637,0,0,1.816
2024/1/13 6:00,495637,0,0,2.374
2024/1/13 7:00,495637,0,0,1.913
2024/1/13 8:00,495637,0,0,1.301
2024/1/13 9:00,495637,0,155,0.898
2024/1/13 10:00,495637,0,310,2.846
2024/1/13 11:00,495637,0,465,3.661
2024/1/13 12:00,495637,0,620,3.536
2024/1/13 13:00,495637,0,516.7,2.283
2024/1/13 14:00,495637,0,413.3,2.472
2024/1/13 15:00,495637,0,310,1.342
2024/1/13 16:00,495637,0,206.7,0.765
2024/1/13 17:00,495637,0,103.3,0.856
2024/1/13 18:00,495637,0,0,1.687
2024/1/13 19:00,495637,0,0,1.71
2024/1/13 20:00,495637,0,0,2.974
2024/1/13 21:00,495637,0,0,3.239
2024/1/13 22:00,495637,0,0,2.959
2024/1/13 23:00,495637,0,0,3.171
2024/1/14 0:00,495637,0,0,2.774
2024/1/14 1:00,495637,0,0,2.758
2024/1/14 2:00,495637,0,0,3.365
2024/1/14 3:00,495637,0,0,1.749
2024/1/14 4:00,495637,0,0,1.169
2024/1/14 5:00,495637,0,0,1.167
2024/1/14 6:00,495637,0,0,0.713
2024/1/14 7:00,495637,0,0,1.464
2024/1/14 8:00,495637,0,0,1.444
2024/1/14 9:00,495637,0,155,0.743
2024/1/14 10:00,495637,0,310,1.464
2024/1/14 11:00,495637,0,465,1.195
2024/1/14 12:00,495637,0,620,1.061
2024/1/14 13:00,495637,0,516.7,0.59
2024/1/14 14:00,495637,0,413.3,1.01
2024/1/14 15:00,495637,0,310,0.909
2024/1/14 16:00,495637,0,206.7,1.904
2024/1/14 17:00,495637,0,103.3,0.507
2024/1/14 18:00,495637,0,0,0.533
2024/1/14 19:00,495637,0,0,1.549
2024/1/14 20:00,495637,0,0,1.333
2024/1/14 21:00,495637,0,0,2.036
2024/1/14 22:00,495637,0,0,1.694
2024/1/14 23:00,495637,0,0,1.069
2024/1/15 0:00,495637,0,0,1.766
2024/1/15 1:00,495637,0,0,1.432
2024/1/15 2:00,495637,0,0,0.922
2024/1/15 3:00,495637,0,0,2.192
2024/1/15 4:00,495637,0,0,1.515
2024/1/15 5:00,495637,0,0,1.076
2024/1/15 6:00,495637,0,0,1.221
2024/1/15 7:00,495637,0,0,0.259
2024/1/15 8:00,495637,0,0,0.529
2024/1/15 9:00,495637,0,155,1.046
2024/1/15 10:00,495637,0,310,0.582
2024/1/15 11:00,495637,0,465,1.584
2024/1/15 12:00,495637,0,620,1.47
2024/1/15 13:00,495637,0,516.7,0.765
2024/1/15 14:00,495637,0,413.3,1.068
2024/1/15 15:00,495637,0,310,2.086
2024/1/15 16:00,495637,0,206.7,2.471
2024/1/15 17:00,495637,0,103.3,1.869
2024/1/15 18:00,495637,0,0,0.922
2024/1/15 19:00,495637,0,0,0.779
2024/1/15 20:00,495637,0,0,0.661
2024/1/15 21:00,495637,0,0,0.958
2024/1/15 22:00,495637,0,0,0.774
2024/1/15 23:00,495637,0,0,0.997
2024/1/16 0:00,495637,0,0,2.044
2024/1/16 1:00,495637,0,0,0.501
2024/1/16 2:00,495637,0,0,1.269
2024/1/16 3:00,495637,0,0,0.775
2024/1/16 4:00,495637,0,0,1.03
2024/1/16 5:00,495637,0,0,0.425
2024/1/16 6:00,495637,0,0,1.695
2024/1/16 7:00,495637,0,0,2.047
2024/1/16 8:00,495637,0,0,1.495
2024/1/16 9:00,495637,0,155,1.491
2024/1/16 10:00,495637,0,310,1.634
2024/1/16 11:00,495637,0,465,1.83
2024/1/16 12:00,495637,0,620,2.915
2024/1/16 13:00,495637,0,516.7,1.114
2024/1/16 14:00,495637,0,413.3,0.951
2024/1/16 15:00,495637,0,310,2.041
2024/1/16 16:00,495637,0,206.7,1.53
2024/1/16 17:00,495637,0,103.3,0.713
2024/1/16 18:00,495637,0,0,1.247
2024/1/16 19:00,495637,0,0,1.705
2024/1/16 20:00,495637,0,0,1.871
2024/1/16 21:00,495637,0,0,1.263
2024/1/16 22:00,495637,0,0,1.754
2024/1/16 23:00,495637,0,0,1.264
2024/1/17 0:00,495637,0,0,2.113
2024/1/17 1:00,495637,0,0,3.594
2024/1/17 2:00,495637,0,0,2.378
2024/1/17 3:00,495637,0,0,1.78
2024/1/17 4:00,495637,0,0,1.84
2024/1/17 5:00,495637,0,0,0.947
2024/1/17 6:00,495637,0,0,0.966
2024/1/17 7:00,495637,0,0,1.554
2024/1/17 8:00,495637,0,0,1.756
2024/1/17 9:00,495637,0,155,1.682
2024/1/17 10:00,495637,0,310,1.757
2024/1/17 11:00,495637,0,465,1.838
2024/1/17 12:00,495637,0,620,1.908
2024/1/17 13:00,495637,0,516.7,2.348
2024/1/17 14:00,495637,0,413.3,2.461
2024/1/17 15:00,495637,0,310,2.374
2024/1/17 16:00,495637,0,206.7,2.27
2024/1/17 17:00,495637,0,103.3,1.584
