时间,电力负荷(kW),热力负荷(kW),光照强度(W/m²),风速(m/s)
2024/1/1 0:00,540000,0,0,0.126
2024/1/1 1:00,540000,0,0,0.558
2024/1/1 2:00,540000,0,0,0.863
2024/1/1 3:00,540000,0,0,0.424
2024/1/1 4:00,540000,0,0,0.15
2024/1/1 5:00,540000,0,0,2.082
2024/1/1 6:00,540000,0,0,2.461
2024/1/1 7:00,540000,0,0,1.302
2024/1/1 8:00,540000,0,0,1.054
2024/1/1 9:00,540000,0,155,2.441
2024/1/1 10:00,540000,0,310,3.288
2024/1/1 11:00,540000,0,465,2.277
2024/1/1 12:00,540000,0,620,2.682
2024/1/1 13:00,540000,0,516.7,2.081
2024/1/1 14:00,540000,0,413.3,1.065
2024/1/1 15:00,540000,0,310,1.401
2024/1/1 16:00,540000,0,206.7,1.067
2024/1/1 17:00,540000,0,103.3,0.299
2024/1/1 18:00,540000,0,0,2.111
2024/1/1 19:00,540000,0,0,1.263
2024/1/1 20:00,540000,0,0,1.001
2024/1/1 21:00,540000,0,0,0.165
2024/1/1 22:00,540000,0,0,0.038
2024/1/1 23:00,540000,0,0,0.222
2024/1/2 0:00,540000,0,0,0.55
2024/1/2 1:00,540000,0,0,1.018
2024/1/2 2:00,540000,0,0,0.495
2024/1/2 3:00,540000,0,0,0.383
2024/1/2 4:00,540000,0,0,0.264
2024/1/2 5:00,540000,0,0,0.635
2024/1/2 6:00,540000,0,0,0.08
2024/1/2 7:00,540000,0,0,1.846
2024/1/2 8:00,540000,0,0,2.646
2024/1/2 9:00,540000,0,155,2.438
2024/1/2 10:00,540000,0,310,2.397
2024/1/2 11:00,540000,0,465,2.189
2024/1/2 12:00,540000,0,620,1.289
2024/1/2 13:00,540000,0,516.7,0.313
2024/1/2 14:00,540000,0,413.3,0.322
2024/1/2 15:00,540000,0,310,1.121
2024/1/2 16:00,540000,0,206.7,1.635
2024/1/2 17:00,540000,0,103.3,0.487
2024/1/2 18:00,540000,0,0,0
2024/1/2 19:00,540000,0,0,0.461
2024/1/2 20:00,540000,0,0,0.206
2024/1/2 21:00,540000,0,0,0.652
2024/1/2 22:00,540000,0,0,0.822
2024/1/2 23:00,540000,0,0,1.319
2024/1/3 0:00,540000,0,0,2.224
