时间,电力负荷(kW),热力负荷(kW),光照强度(W/m²),风速(m/s)
2024/1/1 0:00,281799.9583,0,0,3.508
2024/1/1 1:00,281799.9583,0,0,5.119
2024/1/1 2:00,281799.9583,0,0,4.983
2024/1/1 3:00,281799.9583,0,0,4.846
2024/1/1 4:00,281799.9583,0,0,4.71
2024/1/1 5:00,281799.9583,0,0,4.574
2024/1/1 6:00,281799.9583,0,0,4.437
2024/1/1 7:00,281799.9583,0,0,4.301
2024/1/1 8:00,281799.9583,0,0,4.165
2024/1/1 9:00,281799.9583,0,155,4.029
2024/1/1 10:00,281799.9583,0,310,3.892
2024/1/1 11:00,281799.9583,0,465,3.756
2024/1/1 12:00,281799.9583,0,620,3.62
2024/1/1 13:00,281799.9583,0,516.7,3.483
2024/1/1 14:00,281799.9583,0,413.3,3.347
2024/1/1 15:00,281799.9583,0,310,4.958
2024/1/1 16:00,281799.9583,0,206.7,4.797
2024/1/1 17:00,281799.9583,0,103.3,4.636
2024/1/1 18:00,281799.9583,0,0,4.475
2024/1/1 19:00,281799.9583,0,0,4.314
2024/1/1 20:00,281799.9583,0,0,4.152
2024/1/1 21:00,281799.9583,0,0,3.991
2024/1/1 22:00,281799.9583,0,0,3.83
2024/1/1 23:00,281799.9583,0,0,3.669
2024/1/2 0:00,281799.9583,0,0,3.508
2024/1/2 1:00,281799.9583,0,0,5.119
2024/1/2 2:00,281799.9583,0,0,4.983
2024/1/2 3:00,281799.9583,0,0,4.846
2024/1/2 4:00,281799.9583,0,0,4.71
2024/1/2 5:00,281799.9583,0,0,4.574
2024/1/2 6:00,281799.9583,0,0,4.437
2024/1/2 7:00,281799.9583,0,0,4.301
2024/1/2 8:00,281799.9583,0,0,4.165
2024/1/2 9:00,281799.9583,0,155,4.029
2024/1/2 10:00,281799.9583,0,310,3.892
2024/1/2 11:00,281799.9583,0,465,3.756
2024/1/2 12:00,281799.9583,0,620,3.62
2024/1/2 13:00,281799.9583,0,516.7,3.483
2024/1/2 14:00,281799.9583,0,413.3,3.347
2024/1/2 15:00,281799.9583,0,310,4.958
2024/1/2 16:00,281799.9583,0,206.7,4.797
2024/1/2 17:00,281799.9583,0,103.3,4.636
2024/1/2 18:00,281799.9583,0,0,4.475
2024/1/2 19:00,281799.9583,0,0,4.314
2024/1/2 20:00,281799.9583,0,0,4.152
2024/1/2 21:00,281799.9583,0,0,3.991
2024/1/2 22:00,281799.9583,0,0,3.83
2024/1/2 23:00,281799.9583,0,0,3.669
2024/1/3 0:00,280700,0,0,3.508
2024/1/3 1:00,280700,0,0,5.119
2024/1/3 2:00,280700,0,0,4.983
2024/1/3 3:00,280700,0,0,4.846
2024/1/3 4:00,280700,0,0,4.71
2024/1/3 5:00,280700,0,0,4.574
2024/1/3 6:00,280700,0,0,4.437
2024/1/3 7:00,280700,0,0,4.301
2024/1/3 8:00,280700,0,0,4.165
2024/1/3 9:00,280700,0,155,4.029
2024/1/3 10:00,280700,0,310,3.892
2024/1/3 11:00,280700,0,465,3.756
2024/1/3 12:00,280700,0,620,3.62
2024/1/3 13:00,280700,0,516.7,3.483
2024/1/3 14:00,280700,0,413.3,3.347
2024/1/3 15:00,280700,0,310,4.958
2024/1/3 16:00,280700,0,206.7,4.797
2024/1/3 17:00,280700,0,103.3,4.636
2024/1/3 18:00,280700,0,0,4.475
2024/1/3 19:00,280700,0,0,4.314
2024/1/3 20:00,280700,0,0,4.152
2024/1/3 21:00,280700,0,0,3.991
2024/1/3 22:00,280700,0,0,3.83
2024/1/3 23:00,280700,0,0,3.669
2024/1/4 0:00,279600,0,0,3.508
2024/1/4 1:00,279600,0,0,5.119
2024/1/4 2:00,279600,0,0,4.983
2024/1/4 3:00,279600,0,0,4.846
2024/1/4 4:00,279600,0,0,4.71
2024/1/4 5:00,279600,0,0,4.574
2024/1/4 6:00,279600,0,0,4.437
2024/1/4 7:00,279600,0,0,4.301
2024/1/4 8:00,279600,0,0,4.165
2024/1/4 9:00,279600,0,155,4.029
2024/1/4 10:00,279600,0,310,3.892
2024/1/4 11:00,279600,0,465,3.756
2024/1/4 12:00,279600,0,620,3.62
2024/1/4 13:00,279600,0,516.7,3.483
2024/1/4 14:00,279600,0,413.3,3.347
2024/1/4 15:00,279600,0,310,4.958
2024/1/4 16:00,279600,0,206.7,4.797
2024/1/4 17:00,279600,0,103.3,4.636
2024/1/4 18:00,279600,0,0,4.475
2024/1/4 19:00,279600,0,0,4.314
2024/1/4 20:00,279600,0,0,4.152
2024/1/4 21:00,279600,0,0,3.991
2024/1/4 22:00,279600,0,0,3.83
2024/1/4 23:00,279600,0,0,3.669
2024/1/5 0:00,281800,0,0,3.508
2024/1/5 1:00,281800,0,0,5.119
2024/1/5 2:00,281800,0,0,4.983
2024/1/5 3:00,281800,0,0,4.846
2024/1/5 4:00,281800,0,0,4.71
2024/1/5 5:00,281800,0,0,4.574
2024/1/5 6:00,281800,0,0,4.437
2024/1/5 7:00,281800,0,0,4.301
2024/1/5 8:00,281800,0,0,4.165
2024/1/5 9:00,281800,0,155,4.029
2024/1/5 10:00,281800,0,310,3.892
